First Observed,Type,IOC
2021-05-04,Hash,653e638e6e38636b0f14ce233661947f624011ef36f7c7edbc8a7614248c3fce
2021-05-03,Hash,558c12a703cac54a1a1206d80b12203d323b869e486a18c4340a09ff0a482570
2021-05-03,hash,5f34168868107b31a3d31b071b71c6a7ffbf2ef48e0dac27c53115bc180dd029
2021-05-02,Hash,D646f450ec5b2e1e04c962350fa430b9651fbcb33a8c39571126e49d6edb5cf1
2021-05-01,Hash,5c53106aea7977870296385f8c5416f44613c5c2798783045ed102f678e9a4d2
2021-05-01,Hash,7ba7feeb051400c499146105cdd6c7f3f2121d5cb7ca5d129f1f33b9476e2e82
2021-04-21,Hash,Bc79c734cb4378e1d13e429b6237fcee52a1261a396219add751462d0a1ae1b0
2021-04-17,Hash,4834fe47e8a44b1f6848c7f900d46731cea700e62c6058e21ece549f931f5e92
2021-04-16,Hash,ec736e81116460aefea7c435ed40586ef32776ea4f38eeaaf00bb3522221c429
2021-04-08,Hash,aed6a2514b60343be59c5c0e0f41a98f90f8f088bd0578a6d3461d08794e5b7f
2021-04-08,Hash,7777452678cd077684b4766ad11df7241e9b5a486a542165e7b8fde117c8f867
2021-04-08,Hash,9de9e5f5da73414c38c21ef61ef34e76ba045e595332de80925ecc1da7fa5371
2021-04-08,Hash,e44bc75e032ff2a145536d0f8b418a09c1729e8c64d3ea71ec2e7b8224316944
2021-03-11,Hash,c7b3bd1be64138446e8767dc613d60cf12f63d5fd56b70abce4a005dc8c9a487
2021-02-27,Hash,9008b54808a320ef08be0d461bd054d759395e90d088c2f86f545fe053674cff
2021-02-24,Hash,b6724054f83c153fe12d5fe83c0415ba855f6d1c6008ee46866e6081b65ea9b0
2021-02-24,Hash,5adb80a525277ca86166ba8024628a12b53fe403594597ddeee46956bc1003bb
2021-02-20,Hash,13a39b14a50e6491bf1c95d92a2336707ee7ad7e6394d8fe48eed4bd91e6d178
2021-02-20,Hash,bfac26ab02610df8fcd5715afdf8f6bfb0aad82206ea24bad6d6c7fc359f83b9
2021-02-06,Hash,4809d9eeb0c9ff1b8ecb557dca4b50acfa02d1dbf308346338666a05b6a29c57
2021-02-06,Hash,9dacd40e5b15ca1d7e6ac5b9f4def6f6f76974ae9162735015b347c1ec30c970
2021-02-06,Hash,55f531a83e86b816ad4c7799dee3ec1edc159783c50644c22a7bc4169271de81
2021-02-01,Wallet,4B3M8rccB8hANDU91SyRdW9pL9PiDb1nyj8ZLZTriSNGVpUViwNQuHaepy6QzDvvvwdLzb2zHtRyAaznc3vmbQPHDvL7bZB
2021-02-05,Hash,f4c91e9e1b3b57acfb5a5bc351cfdb708b9ea31b5a388b020d2d81bd1170a1b5
2021-02-01,Hash,ecd0b141d5a75eb8fc0ce9044e32929497af006a6b31c7c37ef848e4d8f1065b
2021-01-26,Wallet,46owoYY3C1X7CaYKctwZSdL2xq73sh3RHTi55ULSo3EuNgWay2eDhop9dy1JuH59v7JPHH5tdi4WYAgCdNQQ3ksDHppLmPb
2021-01-26,Wallet,4Amn3rc3QyHLQmrCJRDdRiSmAKwkS9db2HneFe18RHHMSnLquHaz6mxU4XgDiLv9MgJ1spAi5RPtPj5iaEx3YaR3KT846kg
2020-01-23,Hash,7dbf48cf92ec0c952285b4e45d2258ef03efab739a823d870bade1ff81af7852
2021-01-23,Hash,6624668673895260d2dc0f3790ac93f34c00fd9bd01799e49e4619a3a181fd3b
2021-01-23,Hash,a11fef817f6af66bf4a03588b893455c3f57d6d9849ea6a6eaf351f2827c69f8
2020-01-19,Wallet,4Am4XXTGm5oAZQ7ZsoPGMKafWrzwUhWadUTQCxepMNGHR59KVPfv1K41RMN1fYYjVS3hUjibPWrXFCktjdii9BMtRoyeXWK
2020-01-19,Hash,057f4776bcf123b623e68083e667f98c52b850dd157a0c81e8627d9dbe93757a
2021-01-11,Hash,fe07ce19aeedc4788e84eee76a24d0e261b2252a75785fe5abe9b9c22f96fe1c
2020-12-28,Hash,b7ecdc2cdecb1277bb26e2774b9134282ea437328517079bfd24fdf3087cb059
2020-12-28,Hash,341cac8daf530936cd50677b165e1f08650d136dbdac2ae7637b3d0d3e462a4e
2020-12-28,Hash,297c7497e9a69a16cab18f64c47c2b64cce3f48ae51bfa11c3f150b695f6ae05
2020-12-17,Wallet,46iM99N18KTNafBX6X2KMP6GkmBSwLpHKfuNSuLuBvFaVNd776wvp7jC1TMiP7t5HL2Bs2ngF1UND6rcEnkwRAsA9nhJ4KH
2020-12-02,Wallet,46xipGaoGayFaqb6NR7u7Yi1SyHPuNWp2aNRGGsq53423HZGDT2hqcdDV9t9RhzftxJccxezn4BTYAj84X9pHCwLRMTxBF4
2020-10-08,Domain,givemexyz.in
2020-09-17,Domain,givemexyz.xyz
2020-08-17,Hash,35e45d556443c8bf4498d8968ab2a79e751fc2d359bf9f6b4dfd86d417f17cfb
2020-08-16,Hash,fdc7920b09290b8dedc84c82883b7a1105c2fbad75e42aea4dc165de8e1796e3
2020-08-16,Hash,19cfe31e696d3d9f6633fa363c365ec24d687c933f36cb8d300f29af6e7e3ee9
2020-08-08,Hash,51654c52e574fd4ebda83c107bedeb0965d34581d4fc095bbb063ecefef08221
2020-08-08,IP,205.185.113.151
2020-06-24,Hash,29316f604f3c0994e8733ea43da8e0e81a559160f5c502fecbb15a71491faf64
2020-04-25,Hash,9b8280f5ce25f1db676db6e79c60c07e61996b2b68efa6d53e017f34cbf9a872
2020-04-25,Hash,855557e415b485cedb9dc2c6f96d524143108aff2f84497528a8fcddf2dc86a2
2020-04-24,Hash,831fdc9efbb3c07eb6383ce1756eee0ad10559ff4caf9ea5603e3e5b35517bbb
2020-04-18,Wallet,453eYj5FmHS83Sj2fTC1eHL5PLVdoHNZT4aFk5V7B4gxUUg2MxaLedHHHTabiRLC5tMiJN5wV5wg6MJJX1Xv56Lz9qG9h5i
2020-04-14,Hash,b59de11bbf619388092169cab7bbb17419afa7c24c6a0f29f20ba44b4251a9e8
2020-04-10,Hash,cf256a461a1b50ed2396a4dc0480d7decf9e721ae27a409fe7398a5458e6beb3
2020-04-01,Hash,bcf428c32f70defebc9c68f9eab5efbc246b592af349493cf86bfd45e81ab1c7
2020-03-30,Domain,thegov.win
2020-03-09,Hash,3e4e520ad13d4dd8fca8f3bd6fe182a6a48ad5425f0c8b0f0fa55ac9883b86f0
2020-02-21,Wallet,46VfQmxKRmjSsMRYux3r6qJvxwdVCmZfUFkPqt1uUfikSSy2wJFbcDzdX2ZuH4hDzs7xS8Nsy5orNTMtQUJADuavC2vV1Rp
2020-02-06,IP Address,104.244.75.25
2020-01-18,Domain,winscp.top
2020-01-14,IP address,107.189.11.170
2019-12-20,Hash,a17de1d2e66d1cf8a7378dcd6ae60134f47c49ceaa39fc9cd73e5e8315a982c6
2019-12-20,Domain,pwndns.pw
2019-12-13,IP Address,23.94.24.12
2019-12-13,Hash – PE,496e78c7a21f2aff824c664008cffdd441d49574b4db078c48f88d756d3e75e8
2019-05-17,hash,8476558d8904f14e4259a16ee08abc84c1fd4babc0f001976189b9fa9dd67764
2019-03-14,Hostname,irc.do-dear.com
2019-01-01,Hash,70da3ea8cc6a8542f50c4979e6a434ace2e1f1f23d242bfddb2aeba668d78c71
