indicator,type,first_seen,last_seen,comment
4bacbb6a20958b20a0f806b051ae6f6c84ff64fb3da98fb74a143517469bd162,sha256,10/23/2021,11/10/2021,installer
ee06514351644d1a7b5568a6ba202e0451148df3f20e4367ea94625ebcfd3226,sha256,10/12/2021,10/20/2021,abc-hello variant
6473ead2efbbe010040f42ef1395c06c9deb7405ca89617d2318a419f90de4cc,sha256,10/11/2021,10/11/2021,abc-hello variant
f7dc1998c6ea802a9db30a1dfd777e00de09f498ad1266b46ae16c301e4e0f63,sha256,7/30/2021,7/30/2021,installer
56d677ed192b5010aa780d09c23b8ee8fdff94d39b20a07c7de76705e5f8c51f,sha256,11/4/2021,11/4/2021,installer
f36d3996245dba06af770d1faf3bc0615e1124fa179ecf2429162abd9df8bbf8,sha256,8/29/2021,9/11/2021,abc-hello variant
6b900ff5ffd3ac1e8bc1fe7f921724f3e7f5dacca1dad98996011f70093b1a84,sha256,10/13/2021,11/4/2021,installer
22b521f8d605635e1082f3f33a993979c37470fe2980956064aa4917ea1b28d5,sha256,10/29/2021,11/10/2021,abc-hello variant
fc614fb4bda24ae8ca2c44e812d12c0fab6dd7a097472a35dd12ded053ab8474,sha256,8/29/2021,8/29/2021,installer
3bf2c3f1ed9ad7edcb60802533878b5d74951f48c01b73775224c5d159d631bf,sha256,7/30/2021,7/30/2021,abc-hello variant
b7fd3d0188966d606fdb24cb3ec471b9c7424799dbba09506bea923cf2bd2e2e,sha256,10/20/2021,10/22/2021,abc-hello variant
103.209.103.16,IP,7/30/2021,11/10/2021,main botnet c2
39.105.1.75,IP,8/4/2021,8/4/2021,abc scanning host from honeypots
101.34.114.216,IP,9/6/2021,9/6/2021,abc scanning host from honeypots
120.234.32.22,IP,9/21/2021,9/21/2021,abc scanning host from honeypots
18.163.28.194,IP,8/10/2021,8/10/2021,abc scanning host from honeypots
124.128.200.114,IP,19/10/2021,19/10/2021,abc scanning host from honeypots
47.93.11.177,IP,22/10/2021,22/10/2021,abc scanning host from honeypots
39.101.174.25,IP,23/10/2021,23/10/2021,abc scanning host from honeypots
106.13.18.221,IP,1/11/2021,1/11/2021,abc scanning host from honeypots
47.97.5.115,IP,3/11/2021,3/11/2021,abc scanning host from honeypots
