indicator,type,first_seen,last_seen,comment
aa.hostasa.org,Domain,10/29/2020,10/29/2020,c2
cdn.cloud2cdn.com,Domain,10/29/2020,10/29/2020,c2
www1.gggatat456.com,Domain,11/23/2020,11/23/2020,c2
p5.lpjulidny7.com,Domain,11/23/2020,11/23/2020,c2
ppp.xxxatat456.com,Domain,11/23/2020,11/23/2020,c2
p5.dddgata789.com,Domain,11/23/2020,11/23/2020,c2
ppp.gggatat456.com,Domain,11/23/2020,11/23/2020,c2
a-dns-google.com,Domain,11/11/2020,11/11/2020,c2
dns-google.org,Domain,11/11/2020,11/11/2020,c2
cdn.netflix2cdn.com,Domain,11/14/2020,11/29/2020,c2
cdn.search2c.com,Domain,11/14/2020,11/29/2020,c2
moleoster.com,Domain,10/23/2020,10/23/2020,c2
ddd.dddgata789.com,Domain,10/20/2020,10/20/2020,c2
uc.twjiasu.com,Domain,11/9/2020,11/9/2020,c2
aa.finance1num.org,Domain,11/24/2020,11/24/2020,c2
cdn.finance1num.com,Domain,11/24/2020,11/24/2020,c2
baidu.gddos.com,Domain,10/12/2020,10/12/2020,c2
pcdown.gddos.com,Domain,10/12/2020,10/12/2020,c2
soft8.gddos.com,Domain,10/12/2020,10/12/2020,c2
www.911ddos.com,Domain,1/6/2021,1/6/2021,c2
xo.lzjxn.me,Domain,11/10/2020,11/10/2020,c2
ww.search2c.com,Domain,12/10/2020,12/10/2020,c2
ww.myserv012.com,Domain,12/10/2020,12/10/2020,c2
kill.2019fly.com,Domain,10/26/2020,10/26/2020,c2
p2.sb1024.net,Domain,10/26/2020,10/26/2020,c2
p2.2019fly.com,Domain,10/26/2020,10/26/2020,c2
p2.fly1989.com,Domain,10/26/2020,10/26/2020,c2
p12.2017fly.com,Domain,11/9/2020,11/9/2020,c2
k1.2018fly.com,Domain,11/9/2020,11/9/2020,c2
p12.sb1024.net,Domain,11/9/2020,11/9/2020,c2
p12.2018fly.com,Domain,11/9/2020,11/9/2020,c2
8uc.linux1.cc,Domain,11/2/2020,11/2/2020,c2
aaa.dsaj2a.org,Domain,11/5/2020,11/5/2020,c2
ww.dnstells.com,Domain,11/5/2020,11/5/2020,c2
ww.gzcfr5axf7.com,Domain,11/5/2020,11/5/2020,c2
ww.gzcfr5axf6.com,Domain,11/5/2020,11/5/2020,c2
wowapplecar.com,Domain,12/19/2020,12/19/2020,c2
topbannersun.com,Domain,12/19/2020,12/19/2020,c2
navicatadvvr.com,Domain,12/19/2020,12/19/2020,c2
shaoqian.f3322.org,Domain,11/6/2020,11/9/2020,c2
gh.dsaj2a1.org,Domain,11/6/2020,11/9/2020,c2
suc80.twjiasu.com,Domain,11/24/2020,11/24/2020,c2
benniaogg.benniao.date,Domain,11/24/2020,11/24/2020,c2
suc80.linux1.cc,Domain,11/24/2020,11/24/2020,c2
rouji.pincco.cn,Domain,11/24/2020,11/24/2020,c2
a381422.f3322.net,Domain,11/19/2020,11/19/2020,c2
aaa.xxxatat456.com,Domain,11/16/2020,11/16/2020,c2
aaa.gggatat456.com,Domain,11/16/2020,11/16/2020,c2
gatat456.com,Domain,11/16/2020,11/16/2020,c2
navert0p.com,Domain,10/23/2020,10/23/2020,c2
wangzongfacai.com,Domain,10/23/2020,10/23/2020,c2
gyw.f3322.net,Domain,11/14/2020,11/22/2020,c2
radarsubmissions.apple.com,Domain,10/21/2020,10/21/2020,c2
p.assword.xyz,Domain,11/4/2020,11/4/2020,c2
q66.f3322.net,Domain,12/10/2020,12/10/2020,c2
www.gggatat456.com,Domain,10/23/2020,10/23/2020,c2
www.xxxatat456.com,Domain,10/23/2020,10/23/2020,c2
p6.sb1024.net,Domain,10/27/2020,10/27/2020,c2
p6.2018fly.com,Domain,10/27/2020,10/27/2020,c2
p6.2017fly.com,Domain,10/27/2020,10/27/2020,c2
wwww.negerf.com,Domain,11/13/2020,11/13/2020,c2
init-p01st.push.apple.com,Domain,10/14/2020,10/14/2020,c2
www.caiyundaifu.top,Domain,11/10/2020,11/10/2020,c2
linux.bc5j.com,Domain,1/4/2021,1/4/2021,c2
p5.2018fly.com,Domain,11/25/2020,11/25/2020,c2
p5.sb1024.net,Domain,11/25/2020,11/25/2020,c2
p5.2017fly.com,Domain,11/25/2020,11/25/2020,c2
syn4.f3322.org,Domain,12/20/2020,12/20/2020,c2
16.courier-push-apple.com.akadns.net,Domain,10/14/2020,10/14/2020,c2
loveliwenjing.f3322.net,Domain,12/3/2020,12/3/2020,c2
fuweishan.f3322.net,Domain,11/20/2020,11/20/2020,c2
ndns.dsaj2a.org,Domain,11/10/2020,11/10/2020,c2
ndns.dsaj2a1.org,Domain,11/10/2020,11/10/2020,c2
ndns.dsaj2a.com,Domain,11/10/2020,11/10/2020,c2
info.3000uc.com,Domain,11/10/2020,11/10/2020,c2
ndns.hcxiaoao.com,Domain,11/10/2020,11/10/2020,c2
p10.2017fly.com,Domain,12/2/2020,12/2/2020,c2
p10.sb1024.net,Domain,12/2/2020,12/2/2020,c2
p10.2018fly.com,Domain,12/2/2020,12/2/2020,c2
w.qq360bidu.me,Domain,12/9/2020,12/9/2020,c2
p4.fly1989.com,Domain,11/21/2020,11/21/2020,c2
p4.sb1024.net,Domain,11/21/2020,11/21/2020,c2
p4.2019fly.com,Domain,11/21/2020,11/21/2020,c2
ns1.hostasa.org,Domain,11/26/2020,11/26/2020,c2
ns4.hostasa.org,Domain,11/26/2020,11/26/2020,c2
ns3.hostasa.org,Domain,11/26/2020,11/26/2020,c2
ns2.hostasa.org,Domain,11/26/2020,11/26/2020,c2
p6.2019fly.com,Domain,11/14/2020,11/14/2020,c2
p6.fly1989.com,Domain,11/14/2020,11/14/2020,c2
103.223.120.131,IP,11/11/2020,11/11/2020,c2
103.25.9.228,IP,11/11/2020,11/11/2020,c2
129.28.206.142,IP,11/1/2020,11/1/2020,c2
154.48.227.89,IP,11/14/2020,11/29/2020,malware host
172.81.99.16,IP,10/29/2020,10/29/2020,c2
34.249.145.219,IP,10/29/2020,10/29/2020,c2
103.233.83.245,IP,10/12/2020,10/12/2020,c2
98.159.110.69,IP,12/10/2020,12/10/2020,malware host
103.239.29.170,IP,11/17/2020,11/17/2020,c2
98.159.110.44,IP,11/13/2020,11/30/2020,malware host
98.159.99.26,IP,11/13/2020,11/30/2020,malware host
184.28.221.112,IP,1/7/2021,1/7/2021,c2
23.194.118.240,IP,1/7/2021,1/7/2021,c2
183.60.202.2,IP,11/6/2020,11/9/2020,c2
114.114.114.114,IP,11/24/2020,11/24/2020,c2
98.159.99.92,IP,11/18/2020,11/18/2020,malware host
183.56.173.156,IP,11/19/2020,11/19/2020,c2
183.60.149.214,IP,11/14/2020,11/22/2020,c2
98.159.110.72,IP,12/10/2020,12/18/2020,malware host
23.194.118.47,IP,10/21/2020,10/21/2020,c2
184.28.221.115,IP,10/21/2020,10/21/2020,c2
255.255.255.255,IP,10/21/2020,10/21/2020,c2
203.12.202.137,IP,11/4/2020,11/4/2020,c2
5.39.28.138,IP,11/14/2020,11/14/2020,c2
5.39.28.139,IP,11/14/2020,11/14/2020,c2
5.39.28.136,IP,11/14/2020,11/14/2020,c2
5.39.28.137,IP,11/14/2020,11/14/2020,c2
51.89.70.87,IP,11/14/2020,11/14/2020,c2
51.89.70.86,IP,11/14/2020,11/14/2020,c2
51.38.200.187,IP,11/14/2020,11/14/2020,c2
51.38.200.186,IP,11/14/2020,11/14/2020,c2
51.38.200.185,IP,11/14/2020,11/14/2020,c2
51.38.200.184,IP,11/14/2020,11/14/2020,c2
51.68.183.111,IP,11/14/2020,11/14/2020,c2
51.68.183.110,IP,11/14/2020,11/14/2020,c2
145.239.223.18,IP,11/14/2020,11/14/2020,c2
145.239.223.19,IP,11/14/2020,11/14/2020,c2
51.77.240.164,IP,11/14/2020,11/14/2020,c2
51.89.34.14,IP,11/14/2020,11/14/2020,c2
51.89.52.15,IP,11/14/2020,11/14/2020,c2
51.89.34.12,IP,11/14/2020,11/14/2020,c2
51.89.34.13,IP,11/14/2020,11/14/2020,c2
180.235.138.137,IP,12/10/2020,12/10/2020,c2
103.97.128.86,IP,11/12/2020,11/12/2020,c2
184.28.221.104,IP,12/9/2020,12/9/2020,c2
54.171.230.55,IP,11/10/2020,11/10/2020,c2
23.253.46.64,IP,11/15/2020,11/15/2020,c2
51.68.183.108,IP,11/15/2020,11/15/2020,c2
51.68.183.109,IP,11/15/2020,11/15/2020,c2
51.89.70.85,IP,11/15/2020,11/15/2020,c2
51.89.70.84,IP,11/15/2020,11/15/2020,c2
51.89.52.12,IP,11/15/2020,11/15/2020,c2
51.89.52.13,IP,11/15/2020,11/15/2020,c2
51.89.34.15,IP,11/15/2020,11/15/2020,c2
51.89.52.14,IP,11/15/2020,11/15/2020,c2
154.127.52.195,IP,1/4/2021,1/4/2021,c2
123.249.12.34,IP,1/1/2021,1/1/2021,c2
222.186.3.172,IP,12/3/2020,12/3/2020,c2
183.56.173.148,IP,11/20/2020,11/20/2020,c2
103.240.141.50,IP,11/10/2020,11/10/2020,c2
112.213.127.156,IP,12/7/2020,12/7/2020,malware host
66.102.253.30,IP,12/24/2020,12/24/2020,c2
172.81.99.161,IP,11/14/2020,11/29/2020,c2
173.254.217.214,IP,11/14/2020,11/29/2020,c2
222.186.128.172,IP,12/27/2020,12/27/2020,c2
005e8f0f2bc8aadf5da62477c25e7c1af428a7c7d4916944c02c8af8228fca0d,sha256,10/29/2020,10/29/2020,XOR.DDOS payload
00a1ca021d12694dc6a994aaaf0386c0c0d530e37a04e1585eab77cec1b28db3,sha256,11/23/2020,11/23/2020,XOR.DDOS payload
00f16ab3fd3992c7a34019077e955290d9cba618e45bb802e6b12f64b572c43e,sha256,1/4/2021,1/4/2021,XOR.DDOS payload
013a045d0b487789e58010e9354d65ae5619d6be09907c202719f4262a2dcdce,sha256,11/11/2020,11/11/2020,XOR.DDOS payload
016cf69184530c7c45ce54ab95612f686863eb2765dbab8cc10b27b94a3fc35a,sha256,11/1/2020,11/1/2020,XOR.DDOS payload
01748ede9c00ab6913f54c5b7f821bef4c8414a87eb4f854a134756fa75662c5,sha256,10/14/2020,10/14/2020,XOR.DDOS payload
0197963c03ec3f34852d5adc96841f3307a760f5d419b6be29c57041fd5ddb5b,sha256,11/29/2020,11/29/2020,XOR.DDOS payload
02d5ee82e4c8f20f10712565db8e19e672df21b3b13ebc671b59b726e7370e04,sha256,11/14/2020,11/29/2020,XOR.DDOS payload
02f4176b55067b140381869b5b3e210ae8f1e5df2d467b80b0be4ff6a755c114,sha256,10/23/2020,10/23/2020,XOR.DDOS payload
03b30395913a748bd1df43b227dc34b94d2878d0c0a18213de8c90ea05a38262,sha256,10/15/2020,10/15/2020,XOR.DDOS payload
0557e678d5722a77fa45e77a2dda54a52337b70182d520e57051c5ac60e455b2,sha256,10/20/2020,10/20/2020,XOR.DDOS payload
0600e16c8cc1e99bb6371834507c2702997443952b4660c8bfdd2ca8d3fd9175,sha256,11/9/2020,11/9/2020,XOR.DDOS payload
06439e6a2cecd408986f22d24a0c752814379244af42957edefc9dc7892764f4,sha256,11/6/2020,11/9/2020,XOR.DDOS payload
0966772a344492d9a29a7493e65942f445cb4d954a69f4737e4b1aed4d9158f0,sha256,11/24/2020,11/24/2020,XOR.DDOS payload
0a114834963787e37260ccaf2819fb38d7e1e3516815d04e7fa9668897de5f05,sha256,10/29/2020,10/29/2020,XOR.DDOS payload
0a538446f90f90e365f8417fb4b946adfcd54a8a774f5fb76edb03f33149edb4,sha256,10/12/2020,10/12/2020,XOR.DDOS payload
0aa84ed7a30a76afed647e5e625901fa9db5bc6e8454d6d3370aadca04823203,sha256,10/29/2020,10/29/2020,XOR.DDOS payload
0acd6597bffceea864762a7895abeadb9e69208851d6beb21777815c01f98d62,sha256,10/15/2020,10/15/2020,XOR.DDOS payload
0de5e120c825a8d92fa60d4f1a1ec1a5b074e5c4b6162a9dc4e49437cb923644,sha256,1/6/2021,1/6/2021,XOR.DDOS payload
0e0187225a7f29312cb45a960dd9be75778ace8e461fdc7ccbf3408c3553e11b,sha256,1/1/2021,1/1/2021,XOR.DDOS payload
0ec2bb0661b3457004bfb5910fc25483ebb907193b402a38da2c8eb02388b6d2,sha256,10/23/2020,10/23/2020,XOR.DDOS payload
0fb37bb46708382fd0cc03e6df189f3d545e4582daabd592259f2b33ef254bda,sha256,10/20/2020,10/20/2020,XOR.DDOS payload
0fe2cc521665db5f5760b2ee3fc55bcef3da60c14b3e9b3d295d560492b65799,sha256,1/6/2021,1/6/2021,XOR.DDOS payload
1170d8d04c9202779f56d8b42d7ff4beb7568d3170e009a4b7ead98ac667eeb4,sha256,11/10/2020,11/10/2020,XOR.DDOS payload
1191a060a30c4f474afbd71c6756cb2c241b9831d55ed2a1d08e4a1845c02d32,sha256,12/10/2020,12/10/2020,XOR.DDOS payload
12c566d327d29fcd4d1c31b337d525a3581018bb8b626c7e1e0483e52bd2f77f,sha256,12/17/2020,12/17/2020,XOR.DDOS payload
131e46fb8d5ba48064f4e76d7b636a78bdb8f795adae6dd587d5a53960073b0a,sha256,11/24/2020,11/24/2020,XOR.DDOS payload
15a9fd1f3b73f954ea28c2964ca43495190878a7660cc80b04daa607a2660e94,sha256,12/29/2020,12/29/2020,XOR.DDOS payload
17cbc6b8782cac6a920c6ec6c3b2a48e95c96befd7db5b3670b05af47e75f8ae,sha256,11/15/2020,11/15/2020,XOR.DDOS payload
180ae7c2e55fdc99f270ed3f5106331744cc1b4502d60ba84846bac5f00c61af,sha256,12/5/2020,12/7/2020,XOR.DDOS payload
183c88899e357b4149fa8aa3797d548e32153f1ff9eea28b89ae99fda47652ef,sha256,10/29/2020,10/29/2020,XOR.DDOS payload
1854ef6bf33c3685272afd091dba6c0f3ce9a00fc776106ab77fb7c77dd0dc44,sha256,1/7/2021,1/7/2021,XOR.DDOS payload
18b31ca77173572a2717966bc84e61f8989ef59d4263d88887380f1d452feb5c,sha256,10/26/2020,10/26/2020,XOR.DDOS payload
19218d14a1a0c1f95bb1db6b48e7f0e44f768747886bb5b5ff71feed111bb7a9,sha256,11/26/2020,11/26/2020,XOR.DDOS payload
1a9793293d4de657764afbbe82f2264c9ce733c540d30e60af8a587ef920e7e2,sha256,1/7/2021,1/7/2021,XOR.DDOS payload
1babfb2161351bc4dbafbe6e3be4cef4e4bfc4fe5de005ce89ed36f5ecd272f3,sha256,10/20/2020,10/20/2020,XOR.DDOS payload
1c57566789e6b4bc3a2cb0d692b0e855dd9b5208fef8f784f7ff3d6f3b7ad796,sha256,1/1/2021,1/1/2021,XOR.DDOS payload
1ce9869010f845403323d3cc8c6914fa92224d64cbdbff880c7dc9bfe5450048,sha256,11/9/2020,11/9/2020,XOR.DDOS payload
