indicator,type,first_seen,last_seen,comment
106.15.38.249,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
116.62.237.64,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
116.62.241.154,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
118.190.90.105,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
120.79.193.21,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
123.56.190.192,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
137.117.194.146,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
180.64.158.120,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
39.108.234.110,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
47.112.129.11,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
47.94.139.224,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
8.129.13.248,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
93.125.49.186,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
93.80.140.192,ipv4,3/23/2020,3/24/2020,"H2Miner,compromised host"
101.37.14.235,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
106.12.71.54,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
111.229.221.155,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
114.215.40.18,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
118.190.2.114,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
120.76.240.145,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
123.57.90.153,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
124.13.36.83,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
182.92.163.146,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
186.212.88.106,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
211.59.81.97,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
220.83.172.192,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
39.106.220.234,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
40.73.102.25,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
47.98.171.91,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
59.126.180.157,ipv4,3/22/2020,3/24/2020,"H2Miner,compromised host"
