indicator,Type,first_seen,last_seen,comment
195.133.40.24,ipv4,5/18/2021,6/9/2021,Keksec - infrastructure
45.145.185.83,ipv4,2/11/2021,3/24/2021,Keksec - infrastructure
45.144.225.65,ipv4,3/14/2021,3/16/2021,Keksec - infrastructure
185.224.129.235,ipv4,4/8/2021,5/16/2021,Keksec - infrastructure
45.14.224.127,ipv4,4/27/2021,5/16/2021,Keksec - infrastructure
45.144.225.96,ipv4,2/26/2021,3/4/2021,Keksec - infrastructure
23.95.80.200,ipv4,4/17/2021,5/5/2021,Keksec - infrastructure
206.81.26.46,ipv4,6/5/2021,6/5/2021,Keksec - infrastructure
45.14.224.197,ipv4,4/12/2021,4/12/2021,Keksec - infrastructure
172.245.36.128,ipv4,2/17/2021,2/17/2021,Keksec - infrastructure
185.224.129.224,ipv4,2/9/2021,4/19/2021,Keksec - infrastructure
45.153.203.124,ipv4,2/12/2021,2/24/2021,Keksec - infrastructure
45.153.203.242,ipv4,2/10/2021,2/24/2021,Keksec - infrastructure
b0tz.xyz,domain,4/17/2021,4/22/2021,Keksec - infrastructure
45.14.224.200,ipv4,4/14/2021,5/9/2021,Keksec - infrastructure
164.90.164.132,ipv4,3/15/2021,3/15/2021,Keksec - infrastructure
107.172.156.158,ipv4,5/21/2021,6/7/2021,Keksec - infrastructure
134.122.78.91,ipv4,6/1/2021,6/1/2021,Keksec - infrastructure
185.203.116.7,ipv4,4/8/2021,5/16/2021,Keksec - infrastructure
192.236.146.182,ipv4,5/21/2021,5/21/2021,Keksec - infrastructure
can6dodp.servepics.com,domain,4/27/2021,5/9/2021,Keksec - infrastructure
11e557e139b44494dd243510b398bb2ac1037055c565d25ef86f04773f9b0389,sha256,6/5/2021,6/7/2021,Keksec - Tsunami-Ryuk
5186e96f8ba4b53e1e7807dbc856eca2da17e27a6d5a61f7f1cf90c3772b3401,sha256,6/7/2021,6/7/2021,Keksec - Tsunami-Ryuk
5ac684538c251a271ea9e9d5e17d83479a94628e8a78967efbc0913e1aa7a78e,sha256,5/16/2021,5/16/2021,Keksec - Tsunami-Ryuk
f22eea872bbfe08b76839a00f9b2a8dc7d7987e1023c16ad359f4d01905a8dc1,sha256,5/16/2021,5/16/2021,Keksec - Tsunami-Ryuk
09f13ab69d40e5713973677858241514901a958572756f4afd67c3add995a803,sha256,5/16/2021,5/16/2021,Keksec - Tsunami-Ryuk
6b6449438d14291bbe05498af782b5d6520d9d962f14bddced2d5608a7878040,sha256,5/14/2021,5/14/2021,Keksec - Tsunami-Ryuk
6f79e5f11f632d90a238d56bcfebd18fdf7b5cdec7be3a3b1d2fd30f8fe3061e,sha256,5/14/2021,5/15/2021,Keksec - Tsunami-Ryuk
8fc030d824ba75cca96a31cc314e454119637cedd480c321a43a4bae1ce09c61,sha256,5/16/2021,5/16/2021,Keksec - Tsunami-Ryuk
23a3db4bfbac56160ae3c6ff6e6ab522d4ddbc1ccd0c01338ebf3e75b8cd8da6,sha256,5/16/2021,5/16/2021,Keksec - Tsunami-Ryuk
ed8b504fde6e191c93491ad6adbe0b5c55fa2d5aa466a24d31061ce28ca60ea2,sha256,5/16/2021,5/16/2021,Keksec - Tsunami-Ryuk
3417c847e456d947dd4ea91011fc774684c44a8e7eeb8cb52c4a2a91db1aec7f,sha256,5/14/2021,5/14/2021,Keksec - Tsunami-Ryuk
c56750befebdf6413485ee4446fe34bc6af7b30919ec1f15ea8240d1e8ae9559,sha256,5/21/2021,5/22/2021,Keksec - Tsunami-Ryuk
34531b24119b39132395adbc2bd108604b4b9c6d391096e12b4199edc2b0e782,sha256,5/20/2021,5/20/2021,Keksec - Tsunami-Ryuk
4811aacbdd13ed17216269f3b19f8035efdaacc52a07b88799c92142038a3e89,sha256,5/16/2021,5/17/2021,Keksec - Tsunami-Ryuk
bf77d4f6c08ef35afa511366be286dd0f2af136326a87ed4a1f0ace8a1edeb56,sha256,5/14/2021,5/15/2021,Keksec - Tsunami-Ryuk
083219b796b9ffa7332fa74de456a354ad0e119dcefc212d4213bee2bc8c1dd3,sha256,5/14/2021,5/14/2021,Keksec - Tsunami-Ryuk
276680c499e417646386b6e5f401aac7ac4d9e305a110cdb8564873dda159cbb,sha256,5/16/2021,5/16/2021,Keksec - Tsunami-Ryuk
37ee27de2baafd426ff8fa9533985a29bfd72444386355b97c6eee3e73396164,sha256,5/14/2021,5/15/2021,Keksec - Tsunami-Ryuk
b9243f712de2ef45f334116d7f8a740eda46f62b0e09e61b3716849a158ec590,sha256,5/16/2021,5/16/2021,Keksec - Tsunami-Ryuk
c9287fd3e6565eecce18750be3bb1dee7a4101fa6acca0a2f0a7a0ee7c94797a,sha256,5/14/2021,5/16/2021,Keksec - Tsunami-Ryuk
89d1a8e5b8128e7cc7885af12b228b240d62b549eaa74a741f481d19f4e5387f,sha256,5/14/2021,5/15/2021,Keksec - Tsunami-Ryuk
f131d629f3ad40aac9b41a7c4a47bfe3c410ec02a40625cb45ad460ce8f24aa7,sha256,5/16/2021,5/16/2021,Keksec - Tsunami-Ryuk
ad286a19045064917ba699e6b77565d72ae6cc275edb8999b0c3ff2ab49e4113,sha256,5/4/2021,5/4/2021,Keksec - Simps
336534e7155c3e1aec02d7b679e93aa27f2988dc4406e55adda09a4460addc77,sha256,5/4/2021,5/5/2021,Keksec - Simps
5bad39eb821ce85b451b05ad19fdeb2dda029c277efb85314cb00b0990f01b0b,sha256,4/27/2021,5/4/2021,Keksec - Simps
faa9d7fe60afae3e83faa20d40a1d43ca453872ad3cbd45b8db7c8e922ab569d,sha256,4/12/2021,4/12/2021,Keksec - Simps
dff82b44d591abec155ddb5dad7017281be9eb558be3edafb03d34bece6edfdb,sha256,4/19/2021,4/20/2021,Keksec - Simps
7dfedf606c41f2534ab2abf1a76c7fc2e296411baa9716e258ebed09b75fa6b1,sha256,5/4/2021,5/4/2021,Keksec - Simps
cedb51c897624af266bdd32aeb00f2735b5947677290bb073a3bca572b90c274,sha256,4/18/2021,4/18/2021,Keksec - Simps
48f32cf9b6ba28ba16de6438e6b0b38b333dd7cc18a0cef525f01736785f1838,sha256,4/12/2021,4/12/2021,Keksec - Simps
5a7621048123929ed15e97e2116f98130564d6c3c550ab8def7b367cb3fb0d7a,sha256,4/18/2021,4/18/2021,Keksec - Simps
3ad1eef8b0d0d2db3445a7a4325420bc5d1d8995ea816c48698caa0ca718e25a,sha256,4/9/2021,4/9/2021,Keksec - Simps
f027c85245e25f4240064e57171fb88c7c42902557ae74f1bece42eec68bd8b9,sha256,4/9/2021,4/9/2021,Keksec - Simps
dbc6d3b3e1648b103a65c28cc656ef144abc6b57c6b1489be9b4cbadc5f96738,sha256,4/9/2021,4/9/2021,Keksec - Simps
39de15329df9257b5e82bef9ba113273ecc1b256d67a0e9eebd76cd4cc97b57b,sha256,4/12/2021,4/14/2021,Keksec - Simps
b45c63ad84464b189bb36d218044e3ba3dfa9fa03a0ecbafd56139bec4453fc2,sha256,4/19/2021,4/20/2021,Keksec - Simps
1ed209e17c99ca6bb91f9548555c51fadb942f374f71b5d7feed3f2642ebff4b,sha256,4/27/2021,4/27/2021,Keksec - Simps
c4121aaff39798befa751e162c4a94262fd47fe097fe47c9102af82f3f0aad9f,sha256,4/27/2021,4/27/2021,Keksec - Simps
315f317954230100197c094bf11726fae111b7136725a86ec41cf1bdbc7eb1cf,sha256,6/5/2021,6/5/2021,Keksec - Simps
176b17c44dfd9a0a2c136148e1e709e7071f5070bbf0b43fd11a206f79ca8f43,sha256,5/9/2021,5/9/2021,Keksec - Simps
552a0311f1630a6e1b31975203f0dde668163232987a2a3a8157852a57d38668,sha256,4/9/2021,4/9/2021,Keksec - Simps
e17d69d35c4b314e1b78a93c5a841d22878f31cdbe27b61ad3b6f053a1ab558a,sha256,4/9/2021,4/9/2021,Keksec - Simps
a36e1fd4873cc1c5c432efd0fecd5a0bc396c5d9b89c1bb4d888e2bcf5b33623,sha256,4/9/2021,4/9/2021,Keksec - Simps
2aad1b04a80e7a46d725d12bd3a453be53c7d9fb32b738fb9f3d36079a4aa79e,sha256,4/13/2021,4/13/2021,Keksec - Simps
531322065ec763d5ddf7348bfbbdbb1b61bfdcd4bd2006dae37d5f6a82fecda1,sha256,4/18/2021,4/18/2021,Keksec - Simps
de09a7dae69f40dea687adb80ae23a235f2d5841e3e3fa479dcb484c87ed87b9,sha256,5/9/2021,5/9/2021,Keksec - Simps
005b3af5e1e8965ade561a10e7957663e211c5f0b8ce6467aef21d57838c2afc,sha256,6/5/2021,6/5/2021,Keksec - Simps
f9ae8584ac4086821f1c76613e8640781553e3511d115a7026c76eaec7c033a1,sha256,6/5/2021,6/5/2021,Keksec - Simps
d725f6ad222fa88b42c35bf31f733580933f862505b96d02e4601286c842071c,sha256,6/5/2021,6/5/2021,Keksec - Simps
579dfd3a8ee52a049671e8f67e57354f884d220abe928f97b62405587393ce86,sha256,6/5/2021,6/5/2021,Keksec - Simps
3dbb4d3fb00bedc81cef7e13d1a5e38fb7dadbe4347044b73ee0ec56ba810938,sha256,4/12/2021,4/14/2021,Keksec - Simps
87c33510149b73b95eced5d13c56cb22c4730b9995a9a6d789f04127bb75cc75,sha256,4/12/2021,4/12/2021,Keksec - Simps
a2fcf41d13fd547ed4754d1d46235d0b82954f3e82d0913b2f4dabdca099ad06,sha256,4/12/2021,4/12/2021,Keksec - Simps
f96dc372a1723b78f7aa5e49cbaed261f28336fe5fc14fcf795e3a8ca4d8b8cb,sha256,5/4/2021,5/4/2021,Keksec - Simps
4a0f6b4f137233ef78f513807b9cf7e0dbe40b86c28e7f97f8f53ac23c8548e5,sha256,4/27/2021,4/29/2021,Keksec - Simps
f5890b9a291693d7d2aadf355932ffd8fe183b7bcb31cfcc526ae4bfe57eaf4e,sha256,4/9/2021,4/9/2021,Keksec - Simps
39ef52645dd7e43670e0608da672dce428ba59a2ba331be09138522a7db537e1,sha256,4/19/2021,4/20/2021,Keksec - Simps
0aa4e52b3022b91cd9480294d1d49b41a7406b76ddc5bfe9f8242e4265407837,sha256,4/13/2021,4/13/2021,Keksec - Simps
30e43b4832cb4c906d289c4d7e100a410b4718a617af79cc210f5671388ea663,sha256,4/27/2021,4/27/2021,Keksec - Simps
9ed0154d861559c2179be5325a57ea24aa9bfef02490d7a62c68184a02b65372,sha256,5/21/2021,5/21/2021,Keksec - Simps
21a0b511a6f444534c7d2065c2a154cd8d3b0ca2e6cce831c678faa078360795,sha256,4/9/2021,4/9/2021,Keksec - Simps
81a6141e0673d75f5c319e6de4e14a00617cbe95bbf1bcc271518c81199e2ee2,sha256,4/18/2021,4/18/2021,Keksec - Simps
f0a45c1df6f8420c62d45e016885cf58bf71ca45c48cf3f569cd0d5950b783a8,sha256,5/19/2021,5/19/2021,Keksec - Simps
0492b30f47940c37610a548c105712742fa927da03bce553840abc93f0d53e3b,sha256,4/12/2021,4/13/2021,Keksec - Simps
7b52104f716806436a468f870408c147955700df9e75090a8c2e0ae11d67eea0,sha256,4/12/2021,4/12/2021,Keksec - Simps
ed29d7697f666bd3dfe2bdf0a2ad1612503da3a951c3d68b24ff7893f9a7fc2a,sha256,5/4/2021,5/8/2021,Keksec - Simps
3021b1227efd7b19a8987806c610722942af5a2946358b6a24e93fc3e359b1c3,sha256,4/27/2021,5/6/2021,Keksec - Simps
cc70ecec478b1c25a5b08496809d12270a69ce8fccb2a6e28f95f8fcea0bc0ea,sha256,4/27/2021,5/4/2021,Keksec - Simps
c91bacda54bd10b2679ff2d62c7569eb7971278f82f7812a1a43fbe6beae1433,sha256,4/9/2021,4/9/2021,Keksec - Simps
22694768d582bbe3dbb67e31daae0c8972aeda1e28a092685afec01bf5071e04,sha256,4/10/2021,4/10/2021,Keksec - Simps
090a37a096da4abfd78f5a71158020b50114b254dfbca20afecbef095d66a156,sha256,5/19/2021,5/19/2021,Keksec - Simps
95effaff6034b4bc679eff306b1d6783c89b17f8e05caa159f8b509b5d8faddf,sha256,5/3/2021,5/8/2021,Keksec - Simps
18fdfb3074a237f3984204d3545bdda8de9d592927d11deaaf3c5a5dcacd4505,sha256,4/12/2021,4/12/2021,Keksec - Simps
de97df3edea85e687372eeec5c19de02c07a0fa5a7b305a4e8b2b16939e2b2c4,sha256,5/19/2021,5/19/2021,Keksec - Simps
e8a4be488cef0e859f8868ea934f2995231c4a4a1ceaad48de4738066a910a5a,sha256,4/18/2021,4/18/2021,Keksec - Simps
21a007f6a661ce01c66c245d5b5b50d6417a11f60740a156015ae66c4fe13f31,sha256,4/27/2021,4/27/2021,Keksec - Simps
0c1eaf1379f6f86288669363445d8aeb7ed30c884f8f868d9bfc7b9f92318edf,sha256,5/4/2021,5/5/2021,Keksec - Simps
93a313621fc6c9428cf6abf1aa95015aeca609c7a7baf5ad2190a4d034c51555,sha256,4/12/2021,4/12/2021,Keksec - Simps
558c3c7836f9f233f00b5752b0a65d4ec6b9be357244808084597ac5618feb48,sha256,4/8/2021,4/8/2021,Keksec - Simps
19ee46576584dc02ce556c9c0909ba307449fa750a067ca886377b63ed72eb5c,sha256,4/18/2021,4/19/2021,Keksec - Simps
84534273c887653ffd643ea27847c36f8f8d925c5865321ecca765295329696c,sha256,4/12/2021,4/13/2021,Keksec - Simps
bb4c938add98c383470d2878a54dc2a6a76f5122cf4cf91922908694f32af2cf,sha256,5/9/2021,5/11/2021,Keksec - Simps
e5f25f609cc5fe15bc55da1ca5e14176708b54c1d2c5d2b1de3ba2aa03148464,sha256,4/9/2021,4/9/2021,Keksec - Simps
5de6d084194c102d51a80dbf421820d7f975c66270428879d1fc58ba2ab77099,sha256,4/9/2021,4/10/2021,Keksec - Simps
763b7d2531d662980014bdbfb6556ac5935d4dcea1d418c4e1c8470ddee40391,sha256,4/18/2021,4/18/2021,Keksec - Simps
b094f9b501dc17c1419c8b1aeb836a579f3b0060e20d24eb7b429b1992501071,sha256,5/19/2021,5/19/2021,Keksec - Simps
d9bdb3a75d64ef92d44499723ef411f0b3898689e2a143f6da5de274fadac1f5,sha256,4/19/2021,4/20/2021,Keksec - Simps
736407142ccc5333bf9b3c8bfbee1067fa97133e83a5e48a98ead37aeb764c34,sha256,4/27/2021,4/27/2021,Keksec - Simps
04e18b9d8d38ccdcb8ea83c89505adfa1df6a680b4f2a7d70632aada4997042f,sha256,5/4/2021,5/4/2021,Keksec - Simps
396c4aecd1e066094d2cb676b848cb37c628f9715d9cdc63f88f310e2ccb1d99,sha256,4/27/2021,5/3/2021,Keksec - Simps
71f43238759f4710bde4b8e3f5fdc9e4fad7f9914c6c49bf0192c9910e7312d8,sha256,5/19/2021,5/19/2021,Keksec - Simps
