indicator,type,first_seen,last_seen,comment
100.137.79.20,IP,7/13/2020,7/13/2020,Moobot c2
108.251.87.78,IP,7/5/2020,7/6/2020,Moobot c2
115.211.186.71,IP,7/30/2020,7/30/2020,Moobot c2
117.145.78.28,IP,7/13/2020,7/22/2020,Moobot c2
118.15.16.68,IP,7/30/2020,7/30/2020,Moobot c2
12.129.251.56,IP,7/13/2020,7/13/2020,Moobot c2
123.162.225.235,IP,7/13/2020,7/13/2020,Moobot c2
126.254.2.205,IP,7/13/2020,7/13/2020,Moobot c2
128.243.215.120,IP,7/13/2020,7/13/2020,Moobot c2
131.104.206.84,IP,7/13/2020,7/22/2020,Moobot c2
132.84.208.85,IP,7/5/2020,7/5/2020,Moobot c2
135.153.89.161,IP,7/30/2020,7/30/2020,Moobot c2
14.47.251.224,IP,7/13/2020,7/13/2020,Moobot c2
140.175.241.47,IP,7/13/2020,7/13/2020,Moobot c2
141.104.192.74,IP,10/11/2020,10/11/2020,Moobot c2
143.146.122.237,IP,7/13/2020,7/13/2020,Moobot c2
147.217.173.209,IP,7/13/2020,7/22/2020,Moobot c2
153.168.179.134,IP,7/13/2020,7/13/2020,Moobot c2
156.115.192.216,IP,7/13/2020,7/13/2020,Moobot c2
156.78.18.114,IP,7/30/2020,7/30/2020,Moobot c2
157.28.1.158,IP,7/13/2020,7/22/2020,Moobot c2
172.78.241.214,IP,7/13/2020,7/13/2020,Moobot c2
180.60.117.11,IP,7/13/2020,7/13/2020,Moobot c2
181.137.142.28,IP,7/13/2020,7/13/2020,Moobot c2
191.75.195.192,IP,7/13/2020,7/13/2020,Moobot c2
20.249.79.20,IP,7/13/2020,7/13/2020,Moobot c2
202.49.244.166,IP,7/30/2020,7/30/2020,Moobot c2
205.10.193.209,IP,7/13/2020,7/13/2020,Moobot c2
216.186.81.91,IP,10/11/2020,10/11/2020,Moobot c2
220.234.111.155,IP,7/30/2020,7/30/2020,Moobot c2
25.241.178.61,IP,7/30/2020,7/30/2020,Moobot c2
34.121.39.185,IP,7/13/2020,7/13/2020,Moobot c2
8.8.8.8,IP,8/19/2020,9/5/2020,Moobot c2
88.154.226.243,IP,7/30/2020,7/30/2020,Moobot c2
92.29.239.156,IP,7/13/2020,7/13/2020,Moobot c2
96.250.129.237,IP,7/30/2020,7/30/2020,Moobot c2
bigbots.cc,Domain,8/19/2020,9/5/2020,Moobot c2
botnet.best,Domain,8/28/2020,8/28/2020,Moobot c2
botnet.goelites.cc,Domain,8/22/2020,8/22/2020,Moobot c2
cence.elrooted.com,Domain,6/10/2020,6/10/2020,Moobot c2
ddosfor.me,Domain,8/18/2020,8/18/2020,Moobot c2
help.trumproot.com,Domain,9/25/2020,9/25/2020,Moobot c2
hh.cyberium.cc,Domain,9/29/2020,9/29/2020,Moobot c2
park.cyberium.cc,Domain,7/3/2020,7/4/2020,Moobot c2
ratatouille.allcheesedout.cc,Domain,8/11/2020,8/11/2020,Moobot c2
wo.cyberium.cc,Domain,10/11/2020,10/11/2020,Moobot c2
xx.zyzyzyzy5.xyz,Domain,9/19/2020,9/19/2020,Moobot c2
yakasoft.org,IP,8/18/2020,8/18/2020,Moobot malware delivery domain
107.172.197.101,IP,8/19/2020,9/5/2020,Moobot malware delivery IP
107.174.24.12,IP,10/6/2020,10/6/2020,Moobot malware delivery IP
172.245.205.137,IP,9/17/2020,9/17/2020,Moobot malware delivery IP
185.172.111.189,IP,8/19/2020,9/5/2020,Moobot malware delivery IP
185.239.242.195,IP,8/19/2020,9/5/2020,Moobot malware delivery IP
194.87.139.171,IP,10/11/2020,10/11/2020,Moobot malware delivery IP
198.46.209.159,IP,8/18/2020,8/18/2020,Moobot malware delivery IP
2.57.122.186,IP,9/18/2020,9/19/2020,Moobot malware delivery IP
2.57.122.196,IP,8/18/2020,8/18/2020,Moobot malware delivery IP
37.46.150.4,IP,8/19/2020,9/5/2020,Moobot malware delivery IP
45.14.148.105,IP,9/25/2020,9/25/2020,Moobot malware delivery IP
45.148.10.28,IP,8/20/2020,9/1/2020,Moobot malware delivery IP
45.153.203.33,IP,8/19/2020,9/5/2020,Moobot malware delivery IP
45.61.136.150,IP,8/11/2020,8/11/2020,Moobot malware delivery IP
45.63.53.4,IP,9/20/2020,9/20/2020,Moobot malware delivery IP
45.95.168.228,IP,7/25/2020,7/26/2020,Moobot malware delivery IP
45.95.168.248,IP,7/27/2020,7/27/2020,Moobot malware delivery IP
45.95.168.90,IP,6/23/2020,6/23/2020,Moobot malware delivery IP
5.199.139.93,IP,8/19/2020,9/5/2020,Moobot malware delivery IP
5.206.224.237,IP,8/19/2020,9/5/2020,Moobot malware delivery IP
