indicator,type,first_seen,last_seen,comment
67ec16c046c743817e1c868c954546ad101b39da0070fca2c20d098c9600017a,sha256,5/18/2018,6/5/2018,Muhstik specimen
b5aaf4bba61cf90e474853c69c41f9d68438bb9283441df3e7e903508718827d,sha256,5/18/2018,6/5/2018,Muhstik specimen
50b7343f39e4b2310d90368a46a923bd1d3614bec073aacae2af68056f94e4f3,sha256,5/18/2018,6/5/2018,Muhstik specimen
571a5f99013d623a58bb73d5bf0aeae4672a2149925ee143409ffc9a89a46f41,sha256,5/18/2018,6/5/2018,Muhstik specimen
96867f503d65c564b146e8961dffae1f90962ba171dd0a5f856ed3f648cb7f4c,sha256,5/18/2018,6/5/2018,Muhstik specimen
f5051906fc019e6c8df2d90ff30728440a377d9bd4135f7a7897ef8a17d219ce,sha256,5/18/2018,6/5/2018,Muhstik specimen
2b671550e69dda3d959f32d7cdfc25c373e1fb04a477c330db6cfb1f717d6f7c,sha256,5/18/2018,6/5/2018,Muhstik specimen
767cc42e1b6cc082bd41eecdb2743173d69ac5e8e02f5b63fa104e3c19d90345,sha256,5/18/2018,6/5/2018,Muhstik specimen
9755bd9aed8de748ed8a1d9ed49e116a0ed2a293252007fc8d96aab8f60306e0,sha256,5/18/2018,6/5/2018,Muhstik specimen
86155c8609a08794a6132d00bfa9ddc02f7cee71fa35c75520b7e8e46d2608c3,sha256,5/18/2018,6/5/2018,Muhstik specimen
c41cdc9a55a562439ffc691470735a1d946af479c2298d8588a3756560247b57,sha256,5/18/2018,6/5/2018,Muhstik specimen
a6746efce9d0f5f9f9387a302d712f69165874ee651e941281b5246b30cfec30,sha256,5/18/2018,6/5/2018,Muhstik specimen
79e1e75ec521a41910339bfa0721ca264c5c6c5678c95564b9f974c6b23879a8,sha256,5/18/2018,6/5/2018,Muhstik specimen
e621e8cb3acc6e562ae3fc7a024874ca5379417cc422f91ede0307ea29eaf5e7,sha256,5/18/2018,6/5/2018,Muhstik specimen
fd320e51d52210ebcc2dfb3c55b6f6c821cc783041490fd158b6e3387ae815b1,sha256,5/18/2018,6/5/2018,Muhstik specimen
e601510d4ebe347a384128c12437465cc26c7d9b817f6e8a12a5b8389ef8af0d,sha256,5/18/2018,6/5/2018,Muhstik specimen
e787275ef77347d71d93b6da6e4005558de051450802df22af3e9ac1f626bfb3,sha256,5/18/2018,6/5/2018,Muhstik specimen
5ca41537c20a54dc23d45b6420b2315233f4fc94b867056daf2197028a30904a,sha256,5/18/2018,6/5/2018,Muhstik specimen
ca42237354f76bd8aebb97635887c286cddc8d3b6cca2581fa228acf335b3a8c,sha256,5/18/2018,6/5/2018,Muhstik specimen
7d9f78570588b402679b1c7c52f75b340b1fee5628c526c9cd8b3b3893d9c87c,sha256,5/18/2018,6/5/2018,Muhstik specimen
7ddfa177d63ef3fae731a23c980e0b9781c7d4583c6836ead1c0f50705d991b1,sha256,5/18/2018,6/5/2018,Muhstik specimen
74e04206acdb95571a7c0c3a886da3f348f488be524340affe16f866f48018c3,sha256,5/18/2018,6/5/2018,Muhstik specimen
661fd9300afd847a3bfbfbb194ca9f0c98a6067beb84b736d6c708b4f02817e0,sha256,5/18/2018,6/5/2018,Muhstik specimen
131d94da3fd3c2d26bea06c05e31d06cd963b2c331787896136151621350fb05,sha256,5/18/2018,6/5/2018,Muhstik specimen
c74e6f343fc505edae4178ad4f7ca9b374f8279efe081f2a5e08f8e57640bcd2,sha256,5/18/2018,6/5/2018,Muhstik specimen
28b1ed21267a7234cb9346005d27272b83c54c86d8117e0f6162018cde5f9d51,sha256,5/18/2018,6/5/2018,Muhstik specimen
6291ba4eec816171387f656776ea873a3a82dd2b262d65c33a570063e9f55c8c,sha256,5/18/2018,6/5/2018,Muhstik specimen
eb2433bf487a405b631464430f9ba5f02d95f7d63a59dd288a3db9d2d0611373,sha256,5/18/2018,6/5/2018,Muhstik specimen
