indicator,type,first_seen,last_seen,comment
194.145.227.21,ipv4,03/27/2021,04/21/2021,"Sysrv C2 IP"
31.210.20.181,ipv4,03/11/2021,04/21/2021,"Sysrv C2 IP"
194.40.243.98,ipv4,03/08/2021,04/22/2021,"Sysrv C2 IP"
31.42.177.123,ipv4,03/04/2021,04/22/2021,"Sysrv C2 IP"
31.210.20.120,ipv4,03/03/2021,04/22/2021,"Sysrv C2 IP"
185.239.242.71,ipv4,12/13/2020,04/22/2021,"Sysrv C2 IP"
c07838598435a26f658654db4ce816914e6cfe70056382471362407d6093e1fa,sha256,03/19/2021,03/19/2021,"Sysrv bash dropper"
ac0d8aceb01077b5ff3de02c6c63971054104bedabf3732ed169646a3f7e10e9,sha256,04/18/2021,04/18/2021,"Sysrv bash dropper"
6464434e5040b6bab0dd8b55b906dc1d068a21de5684e75e5eb51aa2608ef0ad,sha256,04/14/2021,04/14/2021,"Sysrv bash dropper"
28dcdabaab2837b944a260048792ee4141ab0b3061637d7b9097706292c76877,sha256,04/15/2021,04/15/2021,"Sysrv bash dropper"
f115f7826b7857be4522b84a17077a49d0ec0835010da31060acf85bab87778c,sha256,04/15/2021,04/15/2021,"Sysrv PE non-upx"
80bc76202b75201c740793ea9cd33b31cc262ef01738b053e335ee5d07a5ba96,sha256,04/21/2021,04/21/2021,"Sysrv PE UPX"
d50864f13378b333784f7469df98ef2ea438489ccf0649622897a7712a9c18f8,sha256,04/08/2021,04/08/2021,"Sysrv 64-bit ELF non-upx"
544d20fc286d0803dee86a9c34b4c348333e320a4e33fd2730079701cb6e108f,sha256,04/06/2021,04/06/2021,"Sysrv 64-bit ELF UPX"
