indicator,type,first_seen,last_seen,comment
c8ed6a70790ae58a1e10debb92a9ec4f864153fc1599431fb8b3a03b7edc8641,sha256,5/17/2021,5/18/2021,"TeamTNT Utility"
e85ab365fe239373669c08ad9d18b1cae95565e6767415a51aacdb8abe7e2315,sha256,5/17/2021,5/18/2021,"TeamTNT utility"
94da4e21def0c6390879a838b5e64b9edabd5d7cf525ec2edfbe478ce7b0b4a7,sha256,5/17/2021,5/18/2021,"TeamTNT utiltiy"
d4c7ee2acd9b59c2add80cfb61e8efba663b7917537fa0f356b2545c43e956b4,sha256,5/17/2021,5/18/2021,"TeamTNT IRC Bot"
9504b74906cf2c4aba515de463f20c02107a00575658e4637ac838278440d1ae,sha256,5/17/2021,5/18/2021,"TeamTNT bash script"
b8e4f8b3d43c7864ad1a05ff82612ac5721d1c62ef6a2c5fef82dc301a6f4e31,sha256,5/17/2021,5/18/2021,"TeamTNT utility"
ea0ed7cbc0fefb534a26c6c6b8412c9fb843da8d09a507cbb160916eac25441b,sha256,5/17/2021,5/18/2021,"TeamTNT utility"
84078b10ad532834eb771231a068862182efb93ce1e4a8614dfca5ae3229ed94,sha256,5/17/2021,5/18/2021,"TeamTNT utility"
d0bc3b8a8a5da1d14dfb16297d825d7f40a065d64aae96645062905f4c90008e,sha256,5/17/2021,5/18/2021,"TeamTNT utility"
46EPFzvnX5GH61ejkPpNcRNm8kVjs8oHS9VwCkKRCrJX27XEW2y1NPLfSa54DGHxqnKfzDUVW1jzBfekk3hrCVCmAUrFd3H,wallet,5/17/2021,5/25/2021,"TeamTNT wallet"
