host,type,connected_redis_instances,firstseen,lastseen,ports,commands
193.106.30.234,redis_scanner,1248,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
193.118.53.218,redis_scanner,1026,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
202.107.226.5,redis_scanner,978,2020-08-23 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
192.35.169.48,redis_scanner,967,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
202.96.99.83,redis_scanner,926,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
183.129.159.245,redis_scanner,882,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
183.129.159.243,redis_scanner,799,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
193.106.29.74,redis_scanner,797,2020-08-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
202.96.99.85,redis_scanner,790,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
202.107.226.3,redis_scanner,772,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
45.148.122.152,redis_scanner,771,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL', u'config', u'slaveof', u'get']"
202.107.207.226,redis_scanner,742,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
202.107.207.228,redis_scanner,724,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
183.134.104.171,redis_scanner,719,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
60.190.248.12,redis_scanner,676,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
115.233.218.205,redis_scanner,672,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
93.174.93.33,redis_scanner,665,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
193.106.29.82,redis_scanner,634,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
80.82.70.118,redis_scanner,575,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
175.24.81.253,redis_scanner,575,2020-08-24 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'save', u'set', u'auth', u'command', u'NULL', u'config', u'flushall']"
60.190.248.10,redis_scanner,553,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
218.75.38.211,redis_scanner,532,2020-08-29 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
183.134.104.149,redis_scanner,532,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
183.134.104.173,redis_scanner,530,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
188.124.36.157,redis_scanner,490,2020-08-23 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
119.45.34.13,redis_scanner,434,2020-09-03 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'save', u'set', u'auth', u'NULL', u'config', u'flushall']"
218.75.38.213,redis_scanner,432,2020-08-24 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
175.24.51.238,redis_scanner,428,2020-08-24 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'set', u'auth', u'command', u'NULL', u'config']"
60.190.226.189,redis_scanner,419,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
154.8.218.172,redis_scanner,414,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
91.241.19.56,redis_scanner,413,2020-08-23 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
106.55.45.170,redis_scanner,410,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
123.184.16.66,redis_scanner,409,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'save', u'set', u'config', u'NULL']"
218.75.38.210,redis_scanner,387,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
91.241.19.55,redis_scanner,384,2020-08-23 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
183.134.104.147,redis_scanner,377,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
193.106.31.26,redis_scanner,375,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
218.75.38.212,redis_scanner,366,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
185.244.39.112,redis_scanner,364,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL', u'config', u'get']"
49.233.12.156,redis_scanner,363,2020-09-16 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'set', u'NULL', u'auth', u'command', u'save', u'config', u'flushall']"
49.234.195.122,redis_scanner,350,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'save', u'NULL', u'command']"
172.104.242.173,redis_scanner,346,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
178.63.149.72,redis_scanner,330,2020-08-30 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
94.102.49.57,redis_scanner,328,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
212.64.114.82,redis_scanner,328,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
45.141.84.55,redis_scanner,322,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
115.233.218.203,redis_scanner,318,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'info']
27.115.124.74,redis_scanner,307,2020-08-21 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
125.46.11.67,redis_scanner,306,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'save', u'set', u'config', u'NULL']"
111.229.19.238,redis_scanner,298,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL', u'command', u'auth']"
27.115.124.75,redis_scanner,293,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
27.115.124.9,redis_scanner,281,2020-08-24 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
119.45.204.100,redis_scanner,280,2020-08-26 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL', u'auth', u'set', u'command', u'save', u'config', u'flushall']"
49.232.102.194,redis_scanner+redis_host,279,2020-09-16 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'save', u'set', u'auth', u'command', u'NULL', u'config', u'flushall']"
198.108.67.48,redis_scanner,279,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
185.202.1.113,redis_scanner,278,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
195.54.167.2,redis_scanner,273,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
184.105.139.68,redis_scanner,267,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
92.118.37.64,redis_scanner,265,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
140.143.1.39,redis_scanner,265,2020-08-27 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'set', u'NULL', u'auth', u'command', u'save', u'config', u'flushall']"
106.55.45.75,redis_scanner,261,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'save', u'ping', u'auth', u'command', u'NULL', u'config']"
60.190.226.188,redis_scanner,258,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'NULL']"
49.235.32.25,redis_scanner,258,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'command', u'NULL', u'set']"
213.108.134.156,redis_scanner,256,2020-08-22 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
49.233.182.177,redis_scanner,255,2020-09-02 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'set', u'command', u'NULL']"
203.195.246.90,redis_scanner,252,2020-09-11 00:00:00,2020-09-30 00:00:00,(high ports),"[u'info', u'set', u'auth', u'command', u'NULL', u'config', u'flushall']"
195.54.161.227,redis_scanner,247,2020-09-01 00:00:00,2020-09-30 00:00:00,(high ports),[u'NULL']
